tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2001-301,Auckland,Hard,32,A,20010108,1,102905,,,Stefan Koubek,L,175.0,AUT,24.0164271047,102644,1.0,,Franco Squillari,L,183.0,ARG,25.3826146475,7-6(4) 6-2,3,R32,84.0,5.0,2.0,93.0,58.0,38.0,17.0,10.0,14.0,16.0,5.0,5.0,66.0,31.0,19.0,15.0,10.0,4.0,8.0,52.0,755.0,14.0,1598.0
2001-301,Auckland,Hard,32,A,20010108,2,102231,,,Alex Calatrava,R,190.0,ESP,27.5701574264,102860,,,Agustin Calleri,R,183.0,ARG,24.3175906913,6-3 1-6 6-3,3,R32,78.0,6.0,2.0,74.0,47.0,36.0,14.0,13.0,0.0,2.0,14.0,3.0,63.0,37.0,33.0,11.0,12.0,1.0,3.0,53.0,751.0,64.0,633.0
2001-301,Auckland,Hard,32,A,20010108,3,102257,,WC,Greg Rusedski,L,193.0,GBR,27.3401779603,103066,,WC,Mark Nielsen,R,185.0,NZL,23.2525667351,6-4 6-4,3,R32,87.0,15.0,5.0,64.0,36.0,29.0,17.0,10.0,4.0,4.0,1.0,5.0,72.0,45.0,31.0,12.0,10.0,4.0,6.0,73.0,575.0,260.0,129.0
2001-301,Auckland,Hard,32,A,20010108,4,101647,5.0,,Byron Black,R,175.0,ZIM,31.2580424367,102287,,,Albert Portas,R,188.0,ESP,27.1485284052,2-6 6-2 6-4,3,R32,81.0,1.0,1.0,72.0,52.0,34.0,11.0,13.0,2.0,5.0,15.0,0.0,69.0,35.0,31.0,11.0,13.0,3.0,7.0,35.0,965.0,49.0,760.0
2001-301,Auckland,Hard,32,A,20010108,5,102998,3.0,,Jan Michael Gambill,R,190.0,USA,23.6002737851,103454,,,Nicolas Massu,R,183.0,CHI,21.2484599589,7-6(4) 6-4,3,R32,103.0,15.0,5.0,67.0,33.0,27.0,14.0,11.0,1.0,4.0,8.0,6.0,81.0,40.0,27.0,15.0,11.0,5.0,9.0,33.0,1030.0,67.0,601.0
2001-301,Auckland,Hard,32,A,20010108,6,103714,,,Andreas Vinciguerra,L,180.0,SWE,19.8850102669,103248,,,Harel Levy,R,185.0,ISR,22.4284736482,6-3 6-4,3,R32,68.0,3.0,2.0,57.0,37.0,31.0,12.0,10.0,0.0,0.0,3.0,1.0,66.0,42.0,30.0,9.0,9.0,5.0,7.0,50.0,760.0,59.0,677.0
2001-301,Auckland,Hard,32,A,20010108,7,101532,,,Francisco Clavet,L,183.0,ESP,32.2080766598,103428,,,Juan Ignacio Chela,R,190.0,ARG,21.3607118412,6-3 4-6 6-3,3,R32,99.0,1.0,1.0,87.0,53.0,36.0,23.0,14.0,1.0,2.0,2.0,3.0,82.0,41.0,30.0,24.0,14.0,4.0,7.0,47.0,795.0,65.0,632.0
2001-301,Auckland,Hard,32,A,20010108,8,103188,,Q,Michael Russell,R,173.0,USA,22.6913073238,102950,8.0,,Fernando Vicente,R,180.0,ESP,23.8384668036,6-2 6-2,3,R32,58.0,5.0,1.0,40.0,34.0,28.0,4.0,8.0,0.0,0.0,3.0,1.0,50.0,28.0,19.0,6.0,8.0,1.0,5.0,154.0,250.0,42.0,860.0
2001-301,Auckland,Hard,32,A,20010108,9,103324,,,Arnaud Di Pasquale,R,185.0,FRA,21.9082819986,102701,6.0,,Marcelo Rios,L,175.0,CHI,25.0376454483,3-6 6-1 7-6(2),3,R32,108.0,5.0,10.0,87.0,52.0,34.0,12.0,14.0,3.0,10.0,2.0,6.0,90.0,56.0,30.0,12.0,14.0,3.0,11.0,61.0,670.0,23.0,1160.0
2001-301,Auckland,Hard,32,A,20010108,10,102785,,Q,Glenn Weiner,R,188.0,USA,24.7008898015,103694,,,Olivier Rochus,R,168.0,BEL,19.9726214921,4-6 6-3 6-3,3,R32,95.0,18.0,5.0,82.0,53.0,44.0,13.0,14.0,1.0,2.0,1.0,3.0,83.0,44.0,32.0,23.0,14.0,7.0,10.0,277.0,118.0,71.0,582.0
