tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2002-1536,Madrid Masters,Hard,48,M,20021014,1,102148,,Q,Fabrice Santoro,R,178.0,FRA,29.8453114305,102369,,Q,Julien Boutter,R,190.0,FRA,28.5256673511,6-3 7-6(4),3,R64,91.0,1.0,2.0,63.0,38.0,29.0,17.0,11.0,0.0,1.0,8.0,7.0,70.0,38.0,32.0,13.0,10.0,5.0,7.0,50.0,725.0,51.0,715.0
2002-1536,Madrid Masters,Hard,48,M,20021014,2,103900,,,David Nalbandian,R,180.0,ARG,20.7830253251,101532,,WC,Francisco Clavet,L,183.0,ESP,33.9712525667,6-1 6-1,3,R64,55.0,7.0,2.0,52.0,31.0,23.0,13.0,7.0,4.0,4.0,1.0,0.0,43.0,34.0,15.0,3.0,7.0,1.0,6.0,18.0,1523.0,106.0,375.0
2002-1536,Madrid Masters,Hard,48,M,20021014,3,102701,,,Marcelo Rios,L,175.0,CHI,26.8008213552,103292,,,Gaston Gaudio,R,175.0,ARG,23.8466803559,6-2 6-2,3,R64,58.0,12.0,2.0,57.0,39.0,31.0,8.0,8.0,7.0,7.0,2.0,1.0,47.0,33.0,18.0,7.0,8.0,2.0,6.0,25.0,1240.0,22.0,1408.0
2002-1536,Madrid Masters,Hard,48,M,20021014,4,102839,,,Nicolas Lapentti,R,188.0,ECU,26.1683778234,103356,,,Michel Kratochvil,R,185.0,SUI,23.5208761123,7-6(5) 6-1,3,R64,106.0,6.0,2.0,73.0,41.0,28.0,15.0,9.0,8.0,11.0,3.0,7.0,76.0,37.0,26.0,13.0,10.0,7.0,13.0,30.0,1130.0,64.0,635.0
2002-1536,Madrid Masters,Hard,48,M,20021014,5,103387,,,Paradorn Srichaphan,R,185.0,THA,23.3347022587,102856,,WC,Gustavo Kuerten,R,190.0,BRA,26.0917180014,6-4 6-4,3,R64,76.0,3.0,4.0,58.0,32.0,28.0,14.0,10.0,0.0,0.0,5.0,1.0,73.0,45.0,30.0,14.0,10.0,2.0,4.0,28.0,1190.0,35.0,1005.0
2002-1536,Madrid Masters,Hard,48,M,20021014,6,103344,,,Ivan Ljubicic,R,193.0,CRO,23.5728952772,102456,,,Felix Mantilla,R,180.0,ESP,28.0574948665,6-3 6-4,3,R64,69.0,10.0,0.0,48.0,21.0,17.0,19.0,9.0,1.0,2.0,1.0,3.0,55.0,31.0,23.0,9.0,10.0,1.0,5.0,54.0,700.0,58.0,660.0
2002-1536,Madrid Masters,Hard,48,M,20021014,7,103990,,,Tommy Robredo,R,180.0,ESP,20.4544832307,103018,,,Max Mirnyi,R,196.0,BLR,25.273100616,6-4 6-4,3,R64,79.0,1.0,1.0,62.0,43.0,30.0,12.0,10.0,1.0,2.0,4.0,8.0,69.0,38.0,28.0,13.0,10.0,10.0,13.0,38.0,925.0,27.0,1200.0
2002-1536,Madrid Masters,Hard,48,M,20021014,8,103602,,,Fernando Gonzalez,R,183.0,CHI,22.2094455852,102987,,Q,Andre Sa,R,185.0,BRA,25.440109514,6-3 6-2,3,R64,66.0,12.0,3.0,55.0,33.0,28.0,13.0,9.0,1.0,1.0,0.0,4.0,55.0,30.0,21.0,9.0,8.0,3.0,6.0,20.0,1493.0,65.0,629.0
2002-1536,Madrid Masters,Hard,48,M,20021014,9,103598,,,Xavier Malisse,R,185.0,BEL,22.2368240931,102905,,,Stefan Koubek,L,175.0,AUT,25.7796030116,6-2 6-4,3,R64,73.0,5.0,5.0,68.0,35.0,26.0,17.0,9.0,5.0,7.0,0.0,5.0,60.0,24.0,15.0,14.0,9.0,0.0,5.0,24.0,1255.0,45.0,765.0
2002-1536,Madrid Masters,Hard,48,M,20021014,10,104022,,,Mikhail Youzhny,R,183.0,RUS,20.3039014374,103428,,,Juan Ignacio Chela,R,190.0,ARG,23.1238877481,6-2 6-2,3,R64,67.0,0.0,1.0,50.0,27.0,19.0,18.0,8.0,2.0,2.0,2.0,5.0,61.0,26.0,17.0,14.0,8.0,6.0,10.0,44.0,773.0,23.0,1347.0
2002-1536,Madrid Masters,Hard,48,M,20021014,11,102796,,,Magnus Norman,R,188.0,SWE,26.3737166324,103151,,,Mariano Zabaleta,R,183.0,ARG,24.6242299795,6-7(2) 7-6(4) 6-2,3,R64,155.0,12.0,1.0,105.0,67.0,49.0,26.0,16.0,5.0,7.0,10.0,7.0,98.0,57.0,46.0,19.0,16.0,1.0,5.0,120.0,343.0,53.0,704.0
2002-1536,Madrid Masters,Hard,48,M,20021014,12,102860,,Q,Agustin Calleri,R,183.0,ARG,26.0807665982,103484,,,James Blake,R,185.0,USA,22.7953456537,6-4 6-2,3,R64,74.0,6.0,1.0,59.0,32.0,25.0,15.0,9.0,4.0,5.0,1.0,3.0,53.0,25.0,14.0,13.0,9.0,6.0,10.0,52.0,709.0,26.0,1220.0
2002-1536,Madrid Masters,Hard,48,M,20021014,13,103813,,,Jarkko Nieminen,L,185.0,FIN,21.2265571526,102783,,,Rainer Schuettler,R,180.0,GER,26.46954141,1-6 6-4 7-6(5),3,R64,130.0,1.0,5.0,95.0,48.0,33.0,21.0,14.0,1.0,6.0,4.0,10.0,114.0,63.0,46.0,22.0,15.0,10.0,14.0,37.0,951.0,31.0,1130.0
2002-1536,Madrid Masters,Hard,48,M,20021014,14,102374,,,Alex Corretja,R,180.0,ESP,28.5092402464,102950,,Q,Fernando Vicente,R,180.0,ESP,25.6016427105,6-4 7-5,3,R64,107.0,9.0,3.0,70.0,34.0,26.0,19.0,11.0,8.0,10.0,8.0,4.0,81.0,45.0,27.0,18.0,11.0,7.0,11.0,21.0,1490.0,57.0,666.0
2002-1536,Madrid Masters,Hard,48,M,20021014,15,103852,,WC,Feliciano Lopez,L,188.0,ESP,21.0650239562,103096,,,Arnaud Clement,R,173.0,FRA,24.8240930869,7-6(5) 3-6 6-4,3,R64,118.0,17.0,7.0,93.0,54.0,46.0,16.0,16.0,3.0,6.0,7.0,5.0,88.0,47.0,35.0,25.0,15.0,4.0,6.0,71.0,556.0,40.0,860.0
2002-1536,Madrid Masters,Hard,48,M,20021014,16,102998,,Q,Jan Michael Gambill,R,190.0,USA,25.363449692,102318,,,Andrei Pavel,R,183.0,ROU,28.7118412047,7-6(3) 6-3,3,R64,100.0,12.0,0.0,74.0,34.0,27.0,22.0,10.0,4.0,5.0,6.0,2.0,73.0,47.0,31.0,10.0,11.0,6.0,9.0,42.0,775.0,29.0,1165.0
2002-1536,Madrid Masters,Hard,48,M,20021014,17,102148,,Q,Fabrice Santoro,R,178.0,FRA,29.8453114305,103163,1.0,,Tommy Haas,R,188.0,GER,24.5311430527,7-6(7) 4-1 RET,3,R32,71.0,8.0,2.0,52.0,26.0,24.0,17.0,8.0,4.0,4.0,8.0,4.0,62.0,36.0,25.0,13.0,9.0,1.0,3.0,50.0,725.0,3.0,2665.0
2002-1536,Madrid Masters,Hard,48,M,20021014,18,103900,,,David Nalbandian,R,180.0,ARG,20.7830253251,103084,13.0,,Guillermo Canas,R,185.0,ARG,24.8843258042,4-6 6-3 6-3,3,R32,116.0,3.0,2.0,83.0,50.0,36.0,22.0,14.0,3.0,4.0,7.0,4.0,86.0,41.0,33.0,20.0,14.0,1.0,4.0,18.0,1523.0,16.0,1750.0
